date,lat_bin,lon_bin,flag,geartype,vessel_hours,fishing_hours,mmsi_present
2012-02-01,-4229,-6022,ARG,trawlers,0.7583333333333333,0,1
2012-02-01,-4996,-6647,ARG,trawlers,0.80625,0,1
2012-02-01,-4740,-6493,ARG,trawlers,1.5358333333333332,0,1
2012-02-01,-4484,-6134,ARG,trawlers,3.8573611111111115,0,1
2012-02-01,-4995,-6646,ARG,trawlers,0.81138888888888894,0,1
2012-02-01,-4227,-5980,ARG,trawlers,4.5930555555555559,0,1
2012-02-01,-4482,-6150,ARG,drifting_longlines,2.4118055555555555,0,1
2012-02-01,-4482,-6133,ARG,trawlers,0.7625,0,1
2012-02-01,-3458,-5838,ARG,trawlers,22.703472222222224,0,1
2012-02-01,-4225,-5979,ARG,trawlers,0.79027777777777775,0,1
2012-02-01,-4479,-6107,ARG,trawlers,2.1516666666666664,0,1
2012-02-01,-4479,-6146,ARG,trawlers,2.3977777777777778,0,1
2012-02-01,-4734,-6333,ARG,trawlers,0.80291666666666661,0,1
