ID,CommonName,ScientificName,LENGTH_cm,SEX,TAG_TYPE,TAG_DATE,TAG_LAT,TAG_LONG,DAYS@LIBERTY,FINAL_LAT,FINAL_LONG,CAPTURE (Y/N),REGION
S153,Blue shark,Prionace glauca,125,U,PSAT,08/10/2006,44.27,-62.53,70,41.22,-42.58,,ATL_N
S154,Blue shark,Prionace glauca,177,U,PSAT,09/10/2006,44.05,-63.5,10,43.92,-63.61,,ATL_N
S155,Blue shark,Prionace glauca,151,U,PSAT,09/10/2006,43.92,-63.29,41,41.53,-63.27,,ATL_N
S156,Blue shark,Prionace glauca,135,U,PSAT,09/10/2006,43.96,-63.18,14,40.04,-57.19,,ATL_N
S157,Blue shark,Prionace glauca,142,U,PSAT,09/10/2006,44.08,-63.28,17,42.5,-66.17,,ATL_N
S158,Blue shark,Prionace glauca,139,U,PSAT,15/09/2008,42.87,-49.72,15,42.1,-50.68,,ATL_N
S159,Blue shark,Prionace glauca,135,U,PSAT,26/09/2007,44.15,-62.82,84,40.66,-57.84,,ATL_N
S160,Blue shark,Prionace glauca,130,U,PSAT,26/09/2007,44.13,-62.87,33,39.97,-61.5,,ATL_N
S161,Blue shark,Prionace glauca,129,U,PSAT,26/09/2007,44.09,-62.9,111,35.53,-65.45,,ATL_N
S162,Blue shark,Prionace glauca,154,U,PSAT,26/09/2007,44.03,-62.98,45,43.41,-63.33,,ATL_N
S163,Blue shark,Prionace glauca,160,U,PSAT,26/09/2007,43.98,-63.06,112,39.69,-50.93,,ATL_N
S164,Blue shark,Prionace glauca,167,U,PSAT,17/10/2007,43.07,-63.06,119,42.22,-59.29,,ATL_N
S165,Blue shark,Prionace glauca,167,M,SPOT,19/09/2012,51.56,-8.29,213,18.9,-21.74,,ATL_N
S166,Blue shark,Prionace glauca,134,M,SPOT,25/09/2013,51.8,-8.25,314,51.07,-7.19,,ATL_N
S167,Blue shark,Prionace glauca,138,F,SPOT,25/09/2013,51.58,-8.29,74,47.6,-10.62,,ATL_N
S168,Blue shark,Prionace glauca,118,U,PSAT,07/09/2012,51.54,-8.32,71,45.5,-1.72,,ATL_N
S169,Blue shark,Prionace glauca,,U,SPOT,23/06/2012,33.24,-117.98,188,17.01,-124.01,,PAC_NE
S170,Blue shark,Prionace glauca,,U,SPOT,19/09/2010,34.17,-120.19,737,33.24,-120.39,,PAC_NE
S171,Blue shark,Prionace glauca,,U,SPOT,21/07/2012,33.81,-119.45,58,34.09,-119.39,,PAC_NE
S172,Blue shark,Prionace glauca,,U,SPOT,31/10/2011,32.67,-122.34,68,14.29,-129.29,,PAC_NE
